type,time,category,amount
0,1741910400000,8s0p77c323,5400
0,1741910400000,0fnhbcle6hg,1500
0,1743897600000,3tqndrjqgrg,3900
0,1744502400000,bsn20th0k2o,1900
0,1744588800000,8s0p77c323,5400
0,1744588800000,0fnhbcle6hg,1500
0,1744588800000,3tqndrjqgrg,5000
0,1746316800000,bsn20th0k2o,2000
0,1747267200000,8s0p77c323,5400
0,1747267200000,0fnhbcle6hg,1500
0,1749772800000,1bcddudhmh,3000
0,1749772800000,bsn20th0k2o,1500
0,1749772800000,3tqndrjqgrg,5000
0,1749859200000,0fnhbcle6hg,1500
0,1732364800000,odrjk823mj8,3000
0,1732451200000,3tqndrjqgrg,4600
0,1732451200000,3tqndrjqgrg,3800
0,1732537600000,0fnhbcle6hg,1500
0,1734179200000,odrjk823mj8,2000
0,1734870400000,1bcddudhmh,3000
0,1734956800000,8s0p77c323,5400
0,1735043200000,3tqndrjqgrg,5000
0,1735129600000,0fnhbcle6hg,1500
0,1737289600000,3tqndrjqgrg,4000
0,1737345333184,odrjk823mj8,2000
0,1737345367638,1bcddudhmh,3000
0,1737345378418,j1h1nohhmmo,800
0,1737345504140,bsn20th0k2o,1000
0,1737345517217,hc5g66kviq,2000
0,1737345576917,8s0p77c323,5400
0,1737345590283,1bcddudhmh,3000
0,1737345789527,3tqndrjqgrg,3900
0,1737548800000,8s0p77c323,5400
1,1741910400000,s73ijpispio,30000
1,1744502400000,5il79e11628,1000
1,1747094400000,1vjj47vpd28,-3000
1,1747180800000,s73ijpispio,28000
1,1749772800000,s73ijpispio,28000
1,1749772800000,1vjj47vpd28,2000
1,1732451200000,s73ijpispio,20000
1,1737345267529,s73ijpispio,30000
1,1737345303191,1vjj47vpd28,-10000
1,1737345317187,5il79e11628,1000
1,1737345463930,s73ijpispio,3000
1,1737345477581,5il79e11628,2000
1,1737345638784,1vjj47vpd28,2000
